year,week,loc,state,country,loc_type,number,event
1980,8,PUERTO RICO,PR,US,STATE,2,CASES
1980,9,NEW HAMPSHIRE,NH,US,STATE,23,CASES
1980,9,VERMONT,VT,US,STATE,19,CASES
1980,9,UPSTATE NEW YORK,NY,US,STATE,12,CASES
1980,9,NEW YORK CITY,NY,US,STATE,23,CASES
1980,9,NEW JERSEY,NJ,US,STATE,9,CASES
1980,9,PENNSYLVANIA,PA,US,STATE,16,CASES
1980,9,INDIANA,IN,US,STATE,3,CASES
1980,9,ILLINOIS,IL,US,STATE,9,CASES
1980,9,MICHIGAN,MI,US,STATE,11,CASES
1980,9,WISCONSIN,WI,US,STATE,4,CASES
1980,9,MINNESOTA,MN,US,STATE,47,CASES
1980,9,MISSOURI,MO,US,STATE,12,CASES
1980,9,KANSAS,KS,US,STATE,7,CASES
1980,9,MARYLAND,MD,US,STATE,9,CASES
1980,9,VIRGINIA,VA,US,STATE,7,CASES
1980,9,WEST VIRGINIA,WV,US,STATE,1,CASES
1980,9,NORTH CAROLINA,NC,US,STATE,28,CASES
1980,9,GEORGIA,GA,US,STATE,16,CASES
1980,9,FLORIDA,FL,US,STATE,12,CASES
1980,9,KENTUCKY,KY,US,STATE,1,CASES
1980,9,TENNESSEE,TN,US,STATE,2,CASES
1980,9,ARKANSAS,AR,US,STATE,1,CASES
1980,9,TEXAS,TX,US,STATE,1,CASES
1980,9,ARIZONA,AZ,US,STATE,2,CASES
1980,9,WASHINGTON,WA,US,STATE,3,CASES
1980,9,CALIFORNIA,CA,US,STATE,9,CASES
1980,9,HAWAII,HI,US,STATE,1,CASES
1980,9,PUERTO RICO,PR,US,STATE,2,CASES
1980,9,VIRGIN ISLANDS,VI,US,STATE,3,CASES
1980,10,MAINE,ME,US,STATE,1,CASES
1980,10,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1980,10,VERMONT,VT,US,STATE,23,CASES
1980,10,RHODE ISLAND,RI,US,STATE,1,CASES
1980,10,UPSTATE NEW YORK,NY,US,STATE,39,CASES
1980,10,NEW YORK CITY,NY,US,STATE,7,CASES
1980,10,NEW JERSEY,NJ,US,STATE,36,CASES
1980,10,PENNSYLVANIA,PA,US,STATE,39,CASES
1980,10,INDIANA,IN,US,STATE,1,CASES
1980,10,ILLINOIS,IL,US,STATE,2,CASES
1980,10,MICHIGAN,MI,US,STATE,9,CASES
1980,10,WISCONSIN,WI,US,STATE,6,CASES
1980,10,MINNESOTA,MN,US,STATE,23,CASES
1980,10,NEBRASKA,NE,US,STATE,3,CASES
1980,10,KANSAS,KS,US,STATE,13,CASES
1980,10,VIRGINIA,VA,US,STATE,13,CASES
1980,10,WEST VIRGINIA,WV,US,STATE,4,CASES
1980,10,GEORGIA,GA,US,STATE,1,CASES
1980,10,FLORIDA,FL,US,STATE,13,CASES
1980,10,KENTUCKY,KY,US,STATE,1,CASES
1980,10,OKLAHOMA,OK,US,STATE,6,CASES
1980,10,TEXAS,TX,US,STATE,8,CASES
1980,10,MONTANA,MT,US,STATE,1,CASES
1980,10,ARIZONA,AZ,US,STATE,3,CASES
1980,10,UTAH,UT,US,STATE,3,CASES
1980,10,CALIFORNIA,CA,US,STATE,9,CASES
1980,10,ALASKA,AK,US,STATE,2,CASES
1980,10,PUERTO RICO,PR,US,STATE,4,CASES
1980,10,VIRGIN ISLANDS,VI,US,STATE,1,CASES
1980,11,NEW HAMPSHIRE,NH,US,STATE,24,CASES
1980,11,VERMONT,VT,US,STATE,18,CASES
1980,11,UPSTATE NEW YORK,NY,US,STATE,1,CASES
1980,11,NEW YORK CITY,NY,US,STATE,44,CASES
1980,11,NEW JERSEY,NJ,US,STATE,15,CASES
1980,11,OHIO,OH,US,STATE,34,CASES
1980,11,INDIANA,IN,US,STATE,4,CASES
1980,11,ILLINOIS,IL,US,STATE,13,CASES
1980,11,MICHIGAN,MI,US,STATE,4,CASES
1980,11,WISCONSIN,WI,US,STATE,17,CASES
1980,11,MINNESOTA,MN,US,STATE,39,CASES
1980,11,NEBRASKA,NE,US,STATE,6,CASES
1980,11,KANSAS,KS,US,STATE,7,CASES
1980,11,VIRGINIA,VA,US,STATE,12,CASES
1980,11,NORTH CAROLINA,NC,US,STATE,5,CASES
1980,11,FLORIDA,FL,US,STATE,8,CASES
1980,11,OKLAHOMA,OK,US,STATE,29,CASES
1980,11,TEXAS,TX,US,STATE,6,CASES
1980,11,COLORADO,CO,US,STATE,1,CASES
1980,11,UTAH,UT,US,STATE,6,CASES
1980,11,WASHINGTON,WA,US,STATE,19,CASES
1980,11,CALIFORNIA,CA,US,STATE,16,CASES
1980,11,ALASKA,AK,US,STATE,1,CASES
1980,11,PUERTO RICO,PR,US,STATE,3,CASES
1980,12,MAINE,ME,US,STATE,3,CASES
1980,12,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1980,12,VERMONT,VT,US,STATE,21,CASES
1980,12,CONNECTICUT,CT,US,STATE,1,CASES
1980,12,UPSTATE NEW YORK,NY,US,STATE,51,CASES
1980,12,NEW YORK CITY,NY,US,STATE,38,CASES
1980,12,PENNSYLVANIA,PA,US,STATE,26,CASES
1980,12,INDIANA,IN,US,STATE,3,CASES
1980,12,ILLINOIS,IL,US,STATE,14,CASES
1980,12,MICHIGAN,MI,US,STATE,21,CASES
1980,12,WISCONSIN,WI,US,STATE,29,CASES
1980,12,MINNESOTA,MN,US,STATE,36,CASES
1980,12,MISSOURI,MO,US,STATE,13,CASES
1980,12,NEBRASKA,NE,US,STATE,21,CASES
1980,12,KANSAS,KS,US,STATE,10,CASES
1980,12,MARYLAND,MD,US,STATE,9,CASES
1980,12,VIRGINIA,VA,US,STATE,36,CASES
1980,12,WEST VIRGINIA,WV,US,STATE,2,CASES
1980,12,NORTH CAROLINA,NC,US,STATE,3,CASES
1980,12,SOUTH CAROLINA,SC,US,STATE,91,CASES
1980,12,GEORGIA,GA,US,STATE,87,CASES
1980,12,FLORIDA,FL,US,STATE,15,CASES
1980,12,KENTUCKY,KY,US,STATE,1,CASES
1980,12,TENNESSEE,TN,US,STATE,1,CASES
1980,12,ALABAMA,AL,US,STATE,3,CASES
1980,12,OKLAHOMA,OK,US,STATE,19,CASES
1980,12,TEXAS,TX,US,STATE,1,CASES
1980,12,ARIZONA,AZ,US,STATE,11,CASES
1980,12,UTAH,UT,US,STATE,2,CASES
1980,12,WASHINGTON,WA,US,STATE,19,CASES
1980,12,CALIFORNIA,CA,US,STATE,14,CASES
1980,12,PUERTO RICO,PR,US,STATE,3,CASES
1980,13,NEW HAMPSHIRE,NH,US,STATE,14,CASES
1980,13,VERMONT,VT,US,STATE,4,CASES
1980,13,MASSACHUSETTS,MA,US,STATE,6,CASES
1980,13,UPSTATE NEW YORK,NY,US,STATE,36,CASES
1980,13,NEW YORK CITY,NY,US,STATE,64,CASES
